num_workers,workers_completed,workers_expected,completion_rate_pct,total_transactions,successful_txs,failed_txs,success_rate_pct,throughput_real_tx_s,throughput_sum_tx_s,max_duration_s,avg_duration_s,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,workers_with_failures,workers_without_failures
2,2,2,100.0,200,200,0,100.0,0.74,0.74,268.68,268.68,2686.75,2686.75,2686.8,2686.8,2310.0,4450.0,0,2
4,4,4,100.0,400,398,2,99.5,1.54,1.54,258.73,258.73,2597.48,2597.5,2597.5,2597.5,2305.0,4425.0,2,2
8,8,8,100.0,800,800,0,100.0,3.07,3.06,260.54,260.54,2605.35,2605.35,2605.4,2605.4,2305.0,4440.0,0,8
16,16,16,100.0,1600,1600,0,100.0,6.63,6.59,241.27,241.27,2412.7,2412.7,2412.7,2412.7,2305.0,4420.0,0,16
32,32,32,100.0,3200,3200,0,100.0,13.16,13.12,243.07,243.07,2430.7,2430.7,2430.7,2430.7,2305.0,4436.0,0,32
64,64,64,100.0,6400,6397,3,99.95,26.02,26.84,245.87,238.43,2385.28,2385.94,2438.42,2458.58,2253.24,4458.69,3,61
128,128,128,100.0,12800,12791,9,99.93,31.24,32.51,409.49,392.86,3931.28,3949.09,4049.06,4068.48,2251.2,10327.48,9,119
256,256,256,100.0,25600,25563,37,99.86,27.92,30.07,915.53,849.71,8503.54,8526.38,8907.7,9087.19,2250.96,112332.57,35,221
512,511,512,99.8,51100,39932,11168,78.14,25.3,32.99,1578.47,1164.34,14696.51,12811.24,24728.25,28232.65,2252.72,117053.29,363,148
1024,680,1024,66.41,68000,45481,22519,66.88,26.67,38.33,1705.46,1123.99,16480.74,13528.48,28570.69,34019.9,2254.04,127721.15,516,164
