num_workers,workers_completed,workers_expected,completion_rate_pct,total_transactions,successful_txs,failed_txs,success_rate_pct,throughput_tx_s,max_duration_s,avg_duration_s,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,workers_with_failures,workers_without_failures
2,2,2,100.0,200,200,0,100.0,0.87,230.43,229.68,2296.7,2296.7,2303.47,2304.07,2266.02,2431.34,0,2
4,4,4,100.0,400,400,0,100.0,1.72,233.11,232.04,2320.36,2320.36,2331.11,2331.11,2264.61,2516.39,0,4
8,8,8,100.0,800,800,0,100.0,3.45,231.72,229.76,2297.58,2298.02,2313.96,2316.5,2246.92,2512.5,0,8
16,16,16,100.0,1600,1600,0,100.0,6.93,231.01,228.32,2283.17,2285.91,2307.93,2309.67,2237.74,2637.06,0,16
32,32,32,100.0,3200,3198,2,99.94,13.94,229.33,226.77,2269.04,2263.91,2287.52,2292.01,2231.6,2451.06,2,30
64,64,64,100.0,6400,6400,0,100.0,27.13,235.87,232.35,2323.47,2323.2,2342.7,2350.06,2262.41,4258.23,0,64
128,128,128,100.0,12800,12796,4,99.97,54.59,234.4,231.52,2315.8,2315.84,2339.33,2341.89,2273.68,4311.79,4,124
256,256,256,100.0,25600,25589,11,99.96,78.51,325.94,270.21,2703.16,2673.24,2972.02,3088.42,2270.39,50312.86,11,245
512,512,512,100.0,51200,50648,552,98.92,77.39,654.42,409.09,2909.82,2850.02,3626.12,3760.75,2245.31,118280.12,274,238
1024,612,1024,59.77,102400,59399,43001,58.01,64.94,914.71,572.28,3902.79,3871.72,4858.75,5265.79,2253.59,118739.36,747,277
